ZIP DISEASE_ID COUNT
92081 HTD 31
94595 ALZ 28
95603 HTD 77
92058 HTD 28
92021 OTH 99
90731 HTD 118
94124 HTD 66
92057 OTH 46
92703 OTH 41
90808 CAN 72
91352 HTD 69
92506 CAN 80
92626 OTH 62
96007 OTH 52
92583 HTD 70
90232 HTD 32
92377 HTD 32
90630 OTH 55
91105 CAN 34
92021 CAN 122
94124 HTD 67
90020 CAN 37
95361 CAN 53
95948 HTD 26
90033 STK 23
95008 OTH 46
92040 OTH 66
92026 STK 20
92504 CAN 83
95401 CAN 66
91942 CAN 70
93905 HTD 37
90220 CAN 77
94501 HTD 174
96097 HTD 39
92647 HTD 86
92024 INJ 35
94114 CAN 48
90024 HTD 68
90720 HTD 57
92037 CAN 92
91387 HTD 23
93308 STK 28
94928 STK 24
90650 HTD 203
92027 STK 31
90069 OTH 39
90220 CAN 71
90274 HTD 65
91436 OTH 23
93263 HTD 41
90504 CAN 57
91950 OTH 67
90262 HTD 54
91405 HTD 89
95628 STK 24
93449 CAN 21
94533 INJ 34
92274 HTD 21
93720 HTD 81
95003 HTD 40
90275 HTD 101
91750 OTH 26
93561 OTH 20
90063 HTD 78
93514 HTD 25
95401 HTD 63
90602 CAN 22
90031 HTD 68
90005 OTH 20
92069 CAN 114
95821 INJ 20
90650 CAN 141
94123 CAN 43
91010 OTH 27
93727 CLD 25
93021 HTD 29
92648 STK 23
91776 STK 21
92663 CAN 42
94545 CAN 43
95610 HTD 94
96003 HTD 142
95129 OTH 28
96002 CAN 85
94127 OTH 36
95959 OTH 23
94131 HTD 37
90047 CLD 22
90057 OTH 50
93109 HTD 21
90293 HTD 26
94116 ALZ 20
92688 OTH 23
91360 STK 32
90210 OTH 24
91723 HTD 30
95826 STK 22
95367 OTH 29
92376 DIA 24
94560 OTH 39
90503 STK 20
92069 CLD 35
94806 CAN 71
95501 HTD 58
91731 HTD 48
95376 CLD 34
92688 HTD 29
92211 HTD 89
94601 HTD 60
93311 HTD 28
92026 HTD 79
95815 OTH 43
90262 HTD 80
90067 HTD 23
90057 HTD 83
95540 HTD 44
95822 HTD 124
92586 OTH 78
95209 HTD 95
93065 CLD 29
90039 HTD 73
95112 INJ 27
90002 CAN 48
94598 OTH 50
91411 HTD 49
93454 HTD 110
90744 CAN 42
95301 CAN 51
93230 OTH 79
92627 OTH 61
90038 CAN 22
92801 CLD 27
91304 OTH 43
91401 CAN 69
92840 CLD 24
95667 OTH 72
92116 CAN 46
90016 HTD 96
91306 OTH 39
93241 HTD 37
91331 DIA 22
92841 HTD 64
92308 CAN 81
92591 CAN 33
91780 CAN 56
95610 STK 21
94533 CAN 119
91016 CAN 64
96080 HTD 92
95008 HTD 63
93033 STK 26
90056 CAN 20
92123 HTD 64
92020 STK 36
92069 HTD 146
94518 OTH 66
95205 OTH 55
90047 CLD 25
91108 HTD 32
91364 CAN 52
91001 CAN 56
94606 OTH 41
92805 OTH 46
90066 CAN 89
95304 HTD 21
91040 OTH 24
96067 HTD 22
91710 OTH 66
95758 OTH 79
95472 STK 32
93454 INJ 25
92802 OTH 44
90240 HTD 57
91786 OTH 64
90061 HTD 27
94401 OTH 42
94134 CAN 71
93111 OTH 37
92117 CAN 90
95822 CLD 25
90712 STK 21
93953 HTD 25
92801 STK 28
95127 INJ 21
90303 OTH 34
90221 OTH 39
91360 OTH 71
95358 CAN 33
91762 CAN 80
95949 CAN 63
92084 CLD 23
92009 OTH 47
94546 CAN 114
90631 OTH 64
95827 HTD 29
93103 CAN 20
90804 OTH 31
94589 ALZ 20
92110 CAN 53
94403 HTD 54
90740 HTD 188
94591 CAN 97
93215 HTD 64
94134 STK 25
92506 OTH 65
93292 CAN 44
92399 CLD 54
95816 HTD 38
95066 HTD 27
92025 ALZ 27
91304 CAN 57
92691 ALZ 32
91345 HTD 65
95969 CAN 91
95519 HTD 33
92103 HTD 115
94131 OTH 39
92586 ALZ 32
92404 STK 44
91350 HTD 52
95820 CAN 54
90270 HTD 22
93012 HTD 72
93706 INJ 20
94611 CAN 57
93012 HTD 76
91941 CAN 114
90046 HTD 171
95670 STK 22
92019 ALZ 24
91601 HTD 47
93727 PNF 21
94115 HTD 101
90043 STK 25
92584 HTD 48
91387 OTH 28
91910 CAN 138
95129 HTD 49
92020 OTH 84
92119 CAN 61
94301 HTD 32
94102 OTH 91
92109 HTD 69
94533 ALZ 34
94043 OTH 24
95963 OTH 25
94587 HTD 69
91755 CAN 49
92882 CAN 81
92083 HTD 102
92120 CAN 77
95206 HTD 88
90028 CAN 39
93023 OTH 47
92225 OTH 20
92270 OTH 64
91792 CAN 37
94121 STK 36
90274 STK 22
95338 OTH 26
92505 CAN 54
94703 HTD 36
92612 HTD 46
92399 CLD 47
93442 CAN 38
95815 CAN 49
90066 HTD 96
96094 CAN 23
94513 HTD 45
95112 STK 20
95610 STK 24
95008 OTH 36
92111 HTD 67
91352 HTD 72
94110 OTH 82
92543 PNF 21
92110 STK 27
94705 HTD 29
90744 OTH 46
93305 OTH 54
91773 OTH 40
90057 CAN 46
92570 CAN 59
94568 CAN 38
91360 ALZ 24
93635 HTD 42
94598 CAN 66
94941 HTD 37
92544 OTH 82
92505 HTD 58
95519 CAN 34
94589 HTD 45
94806 STK 22
95841 CAN 38
92649 HTD 58
94544 STK 43
92629 CAN 49
92113 HTD 60
95949 OTH 22
94123 HTD 24
92562 CAN 64
92653 CLD 40
90032 HTD 66
91505 CAN 56
92346 CLD 38
95148 CAN 41
91932 CAN 28
93662 CAN 41
93257 DIA 24
94402 CAN 64
92223 CAN 65
91207 HTD 29
90270 HTD 26
93534 CLD 45
93940 STK 21
93003 STK 28
92553 HTD 73
95673 HTD 25
91604 OTH 27
94589 HTD 64
95125 OTH 85
91356 OTH 32
90222 OTH 34
91307 OTH 32
91024 HTD 24
91411 OTH 24
91204 OTH 21
90631 HTD 152
92123 CAN 50
91748 CAN 63
94509 STK 36
92313 CAN 20
91913 HTD 28
92801 OTH 53
95630 ALZ 22
94580 CAN 48
92139 HTD 44
95841 CAN 26
92704 OTH 58
90201 HTD 116
90022 OTH 61
90802 HTD 77
92563 OTH 45
94930 CAN 21
94590 CLD 23
95531 CAN 40
92071 CAN 89
91902 HTD 37
94607 CAN 50
95973 INJ 22
91780 CAN 69
