State Measure ID Score
AK HAI_1_SIR 0.956
AL HAI_1_SIR 1.530
AR HAI_1_SIR 1.219
AZ HAI_1_SIR 0.917
CA HAI_1_SIR 0.973
CO HAI_1_SIR 0.935
CT HAI_1_SIR 1.221
DC HAI_1_SIR 1.273
DE HAI_1_SIR 0.944
FL HAI_1_SIR 1.094
GA HAI_1_SIR 1.173
HI HAI_1_SIR 0.298
IA HAI_1_SIR 0.941
ID HAI_1_SIR 0.700
IL HAI_1_SIR 0.873
IN HAI_1_SIR 1.144
KS HAI_1_SIR 0.802
KY HAI_1_SIR 1.148
LA HAI_1_SIR 1.532
MA HAI_1_SIR 0.762
MD HAI_1_SIR 1.172
ME HAI_1_SIR 0.801
MI HAI_1_SIR 0.981
MN HAI_1_SIR 0.802
MO HAI_1_SIR 1.061
MS HAI_1_SIR 1.223
MT HAI_1_SIR 0.933
NC HAI_1_SIR 1.047
ND HAI_1_SIR 0.855
NE HAI_1_SIR 1.172
NH HAI_1_SIR 1.107
NJ HAI_1_SIR 1.130
NM HAI_1_SIR 1.044
NV HAI_1_SIR 0.948
NY HAI_1_SIR 1.122
OH HAI_1_SIR 0.856
OK HAI_1_SIR 0.896
OR HAI_1_SIR 0.716
PA HAI_1_SIR 0.984
PR HAI_1_SIR 0.741
RI HAI_1_SIR 1.112
SC HAI_1_SIR 1.077
SD HAI_1_SIR 0.643
TN HAI_1_SIR 0.903
TX HAI_1_SIR 0.968
UT HAI_1_SIR 0.833
VA HAI_1_SIR 0.947
VI HAI_1_SIR 3.654
VT HAI_1_SIR 0.960
WA HAI_1_SIR 0.855
WI HAI_1_SIR 0.757
WV HAI_1_SIR 0.793
WY HAI_1_SIR 0.375
AK HAI_1_CI_UPPER 1.400
AL HAI_1_CI_UPPER 1.667
AR HAI_1_CI_UPPER 1.375
AZ HAI_1_CI_UPPER 1.023
CA HAI_1_CI_UPPER 1.019
CO HAI_1_CI_UPPER 1.076
CT HAI_1_CI_UPPER 1.381
DC HAI_1_CI_UPPER 1.484
DE HAI_1_CI_UPPER 1.252
FL HAI_1_CI_UPPER 1.150
GA HAI_1_CI_UPPER 1.261
HI HAI_1_CI_UPPER 0.452
IA HAI_1_CI_UPPER 1.108
ID HAI_1_CI_UPPER 0.935
IL HAI_1_CI_UPPER 0.944
IN HAI_1_CI_UPPER 1.250
KS HAI_1_CI_UPPER 0.955
KY HAI_1_CI_UPPER 1.277
LA HAI_1_CI_UPPER 1.672
MA HAI_1_CI_UPPER 0.849
MD HAI_1_CI_UPPER 1.297
ME HAI_1_CI_UPPER 1.063
MI HAI_1_CI_UPPER 1.062
MN HAI_1_CI_UPPER 0.920
MO HAI_1_CI_UPPER 1.163
MS HAI_1_CI_UPPER 1.386
MT HAI_1_CI_UPPER 1.315
NC HAI_1_CI_UPPER 1.132
ND HAI_1_CI_UPPER 1.125
NE HAI_1_CI_UPPER 1.372
NH HAI_1_CI_UPPER 1.409
NJ HAI_1_CI_UPPER 1.227
NM HAI_1_CI_UPPER 1.273
NV HAI_1_CI_UPPER 1.082
NY HAI_1_CI_UPPER 1.180
OH HAI_1_CI_UPPER 0.926
OK HAI_1_CI_UPPER 1.002
OR HAI_1_CI_UPPER 0.859
PA HAI_1_CI_UPPER 1.047
PR HAI_1_CI_UPPER 1.020
RI HAI_1_CI_UPPER 1.409
SC HAI_1_CI_UPPER 1.200
SD HAI_1_CI_UPPER 0.912
TN HAI_1_CI_UPPER 0.984
TX HAI_1_CI_UPPER 1.019
UT HAI_1_CI_UPPER 1.013
VA HAI_1_CI_UPPER 1.044
VI HAI_1_CI_UPPER 7.600
VT HAI_1_CI_UPPER 1.442
WA HAI_1_CI_UPPER 0.957
WI HAI_1_CI_UPPER 0.862
WV HAI_1_CI_UPPER 0.936
WY HAI_1_CI_UPPER 0.904
AK HAI_1_CI_LOWER 0.627
AL HAI_1_CI_LOWER 1.402
AR HAI_1_CI_LOWER 1.076
AZ HAI_1_CI_LOWER 0.819
CA HAI_1_CI_LOWER 0.929
CO HAI_1_CI_LOWER 0.808
CT HAI_1_CI_LOWER 1.075
DC HAI_1_CI_LOWER 1.086
DE HAI_1_CI_LOWER 0.697
FL HAI_1_CI_LOWER 1.041
GA HAI_1_CI_LOWER 1.090
HI HAI_1_CI_LOWER 0.187
IA HAI_1_CI_LOWER 0.793
ID HAI_1_CI_LOWER 0.513
IL HAI_1_CI_LOWER 0.806
IN HAI_1_CI_LOWER 1.045
KS HAI_1_CI_LOWER 0.668
KY HAI_1_CI_LOWER 1.029
LA HAI_1_CI_LOWER 1.402
MA HAI_1_CI_LOWER 0.682
MD HAI_1_CI_LOWER 1.056
ME HAI_1_CI_LOWER 0.591
MI HAI_1_CI_LOWER 0.905
MN HAI_1_CI_LOWER 0.696
MO HAI_1_CI_LOWER 0.966
MS HAI_1_CI_LOWER 1.076
MT HAI_1_CI_LOWER 0.641
NC HAI_1_CI_LOWER 0.967
ND HAI_1_CI_LOWER 0.638
NE HAI_1_CI_LOWER 0.995
NH HAI_1_CI_LOWER 0.856
NJ HAI_1_CI_LOWER 1.039
NM HAI_1_CI_LOWER 0.847
NV HAI_1_CI_LOWER 0.827
NY HAI_1_CI_LOWER 1.065
OH HAI_1_CI_LOWER 0.790
OK HAI_1_CI_LOWER 0.799
OR HAI_1_CI_LOWER 0.591
PA HAI_1_CI_LOWER 0.925
PR HAI_1_CI_LOWER 0.525
RI HAI_1_CI_LOWER 0.865
SC HAI_1_CI_LOWER 0.965
SD HAI_1_CI_LOWER 0.439
TN HAI_1_CI_LOWER 0.827
TX HAI_1_CI_LOWER 0.920
UT HAI_1_CI_LOWER 0.679
VA HAI_1_CI_LOWER 0.858
VI HAI_1_CI_LOWER 1.481
VT HAI_1_CI_LOWER 0.610
WA HAI_1_CI_LOWER 0.761
WI HAI_1_CI_LOWER 0.662
WV HAI_1_CI_LOWER 0.667
WY HAI_1_CI_LOWER 0.119
AK HAI_2_SIR 1.254
AL HAI_2_SIR 0.848
AR HAI_2_SIR 1.143
AZ HAI_2_SIR 0.906
CA HAI_2_SIR 1.123
CO HAI_2_SIR 0.932
CT HAI_2_SIR 0.999
DC HAI_2_SIR 1.193
DE HAI_2_SIR 0.915
FL HAI_2_SIR 0.906
GA HAI_2_SIR 1.108
HI HAI_2_SIR 0.721
IA HAI_2_SIR 1.043
ID HAI_2_SIR 0.851
IL HAI_2_SIR 0.890
IN HAI_2_SIR 0.982
KS HAI_2_SIR 0.897
KY HAI_2_SIR 0.911
LA HAI_2_SIR 1.018
MA HAI_2_SIR 1.090
MD HAI_2_SIR 0.996
ME HAI_2_SIR 1.071
MI HAI_2_SIR 0.998
MN HAI_2_SIR 1.015
MO HAI_2_SIR 0.929
MS HAI_2_SIR 0.845
MT HAI_2_SIR 1.091
NC HAI_2_SIR 0.936
ND HAI_2_SIR 0.878
NE HAI_2_SIR 0.955
NH HAI_2_SIR 0.837
NJ HAI_2_SIR 1.145
NM HAI_2_SIR 1.036
NV HAI_2_SIR 0.714
NY HAI_2_SIR 1.121
OH HAI_2_SIR 0.836
OK HAI_2_SIR 0.926
OR HAI_2_SIR 0.960
PA HAI_2_SIR 1.022
PR HAI_2_SIR 0.554
RI HAI_2_SIR 1.160
SC HAI_2_SIR 1.179
SD HAI_2_SIR 1.053
TN HAI_2_SIR 0.896
TX HAI_2_SIR 0.879
UT HAI_2_SIR 1.377
VA HAI_2_SIR 1.003
VI HAI_2_SIR 3.826
VT HAI_2_SIR 0.872
WA HAI_2_SIR 1.019
WI HAI_2_SIR 0.880
WV HAI_2_SIR 0.685
WY HAI_2_SIR 0.283
AK HAI_2_CI_UPPER 1.800
AL HAI_2_CI_UPPER 0.930
AR HAI_2_CI_UPPER 1.282
AZ HAI_2_CI_UPPER 1.006
CA HAI_2_CI_UPPER 1.167
CO HAI_2_CI_UPPER 1.049
CT HAI_2_CI_UPPER 1.127
DC HAI_2_CI_UPPER 1.414
DE HAI_2_CI_UPPER 1.206
FL HAI_2_CI_UPPER 0.952
GA HAI_2_CI_UPPER 1.185
GU HAI_2_CI_UPPER 2.996
HI HAI_2_CI_UPPER 0.934
IA HAI_2_CI_UPPER 1.202
ID HAI_2_CI_UPPER 1.070
IL HAI_2_CI_UPPER 0.955
IN HAI_2_CI_UPPER 1.077
KS HAI_2_CI_UPPER 1.038
KY HAI_2_CI_UPPER 1.009
LA HAI_2_CI_UPPER 1.112
MA HAI_2_CI_UPPER 1.176
MD HAI_2_CI_UPPER 1.101
ME HAI_2_CI_UPPER 1.343
MI HAI_2_CI_UPPER 1.068
MN HAI_2_CI_UPPER 1.135
MO HAI_2_CI_UPPER 1.015
MS HAI_2_CI_UPPER 0.960
MT HAI_2_CI_UPPER 1.434
NC HAI_2_CI_UPPER 1.009
ND HAI_2_CI_UPPER 1.137
NE HAI_2_CI_UPPER 1.142
NH HAI_2_CI_UPPER 1.056
NJ HAI_2_CI_UPPER 1.233
NM HAI_2_CI_UPPER 1.228
NV HAI_2_CI_UPPER 0.828
NY HAI_2_CI_UPPER 1.172
OH HAI_2_CI_UPPER 0.893
OK HAI_2_CI_UPPER 1.032
OR HAI_2_CI_UPPER 1.107
PA HAI_2_CI_UPPER 1.080
PR HAI_2_CI_UPPER 0.723
RI HAI_2_CI_UPPER 1.438
SC HAI_2_CI_UPPER 1.300
SD HAI_2_CI_UPPER 1.385
TN HAI_2_CI_UPPER 0.970
TX HAI_2_CI_UPPER 0.924
UT HAI_2_CI_UPPER 1.589
VA HAI_2_CI_UPPER 1.094
VI HAI_2_CI_UPPER 6.267
VT HAI_2_CI_UPPER 1.236
WA HAI_2_CI_UPPER 1.127
WI HAI_2_CI_UPPER 0.984
WV HAI_2_CI_UPPER 0.799
WY HAI_2_CI_UPPER 0.627
AK HAI_2_CI_LOWER 0.844
AL HAI_2_CI_LOWER 0.771
AR HAI_2_CI_LOWER 1.017
AZ HAI_2_CI_LOWER 0.814
CA HAI_2_CI_LOWER 1.080
CO HAI_2_CI_LOWER 0.824
CT HAI_2_CI_LOWER 0.881
DC HAI_2_CI_LOWER 0.998
DE HAI_2_CI_LOWER 0.680
FL HAI_2_CI_LOWER 0.861
GA HAI_2_CI_LOWER 1.035
GU HAI_2_CI_LOWER -
HI HAI_2_CI_LOWER 0.547
IA HAI_2_CI_LOWER 0.899
ID HAI_2_CI_LOWER 0.667
IL HAI_2_CI_LOWER 0.828
IN HAI_2_CI_LOWER 0.893
KS HAI_2_CI_LOWER 0.770
KY HAI_2_CI_LOWER 0.820
LA HAI_2_CI_LOWER 0.931
MA HAI_2_CI_LOWER 1.008
MD HAI_2_CI_LOWER 0.899
ME HAI_2_CI_LOWER 0.843
MI HAI_2_CI_LOWER 0.930
MN HAI_2_CI_LOWER 0.906
MO HAI_2_CI_LOWER 0.849
MS HAI_2_CI_LOWER 0.740
MT HAI_2_CI_LOWER 0.813
NC HAI_2_CI_LOWER 0.868
ND HAI_2_CI_LOWER 0.666
NE HAI_2_CI_LOWER 0.791
NH HAI_2_CI_LOWER 0.654
NJ HAI_2_CI_LOWER 1.062
NM HAI_2_CI_LOWER 0.868
NV HAI_2_CI_LOWER 0.612
NY HAI_2_CI_LOWER 1.071
OH HAI_2_CI_LOWER 0.781
OK HAI_2_CI_LOWER 0.829
OR HAI_2_CI_LOWER 0.827
