zip disease count
95346 OTH 2
93924 HYP 0
95926 DIA 4
90404 CLD 15
95401 OTH 71
91760 INJ 0
90056 HTD 24
95688 HYP 3
94591 PNF 15
90026 PNF 18
91030 ALZ 3
95228 SUI 2
91306 STK 16
93268 STK 9
95372 PNF 3
95051 ALZ 11
93285 SUI 2
92532 CAN 14
95543 STK 2
92692 DIA 5
96087 SUI 0
92314 HTD 20
93428 LIV 0
92105 CLD 19
92317 STK 1
95121 HTD 43
95128 STK 11
96027 HYP 0
95255 HYP 0
93920 DIA 0
91042 SUI 1
94928 HOM 1
92346 SUI 7
92404 ALZ 12
94587 HYP 0
93105 STK 24
91108 ALZ 2
91769 ALZ 0
93286 OTH 13
94025 HOM 0
95689 CLD 0
95543 SUI 0
91502 OTH 13
95776 PNF 6
90810 CLD 17
92339 SUI 0
90403 CAN 43
93901 HOM 0
95363 OTH 21
94946 NEP 0
94044 OTH 44
96035 INJ 2
91605 NEP 0
96048 OTH 2
94506 PNF 5
91024 PNF 3
93434 CAN 4
92882 CLD 24
93206 LIV 0
95405 NEP 0
95950 PNF 0
95614 ALZ 2
90024 INJ 3
92618 SUI 0
92081 LIV 0
92282 OTH 3
94612 CLD 14
92808 NEP 0
92509 DIA 22
90715 LIV 3
93535 NEP 8
93243 CLD 0
93242 DIA 1
91344 HOM 0
94534 ALZ 9
95240 OTH 82
93219 CAN 8
91303 SUI 2
94060 LIV 0
95361 HTD 69
90062 HTD 75
91724 NEP 0
96025 HYP 0
92879 CLD 20
95117 INJ 4
93110 CAN 34
96044 HTD 3
95636 PNF 0
95677 CAN 45
94610 OTH 40
95219 LIV 4
92284 HOM 1
90007 PNF 5
91325 HYP 2
95819 CLD 11
95245 HYP 0
93621 HTD 2
95632 DIA 4
92370 SUI 0
92003 STK 2
93657 OTH 57
94110 CLD 10
94062 OTH 26
91752 ALZ 0
95983 INJ 0
92010 NEP 0
93307 NEP 0
93901 HOM 1
90056 LIV 1
92683 ALZ 21
92687 LIV 0
93535 INJ 21
91411 HTD 51
93427 CAN 12
96067 DIA 0
95202 CAN 19
93205 LIV 2
96113 OTH 2
92333 CAN 3
93544 STK 1
96047 OTH 1
90605 PNF 6
96020 NEP 0
90240 SUI 0
94070 ALZ 16
92283 CAN 2
92860 DIA 4
90011 ALZ 2
95045 STK 0
93953 SUI 1
94560 ALZ 10
95470 ALZ 2
93651 STK 1
92604 PNF 4
93313 INJ 16
92078 HOM 0
95960 LIV 1
95005 OTH 7
93223 NEP 0
93023 CAN 49
96056 DIA 1
95351 SUI 2
91506 STK 13
92509 NEP 8
94937 STK 1
94542 HOM 0
95542 OTH 5
91719 SUI 0
95492 NEP 4
95977 LIV 0
92257 NEP 0
92075 LIV 2
93040 STK 2
92131 HTD 19
90002 INJ 11
95825 STK 34
93012 STK 17
92592 HYP 0
93637 INJ 18
95820 SUI 8
96114 CLD 2
92122 HTD 50
92257 SUI 0
92706 CAN 35
95485 HOM 0
93267 NEP 0
90805 HYP 0
95531 SUI 5
91733 HYP 1
91932 ALZ 3
90803 INJ 7
94134 CLD 12
95916 HOM 0
92392 NEP 15
95973 CLD 18
93527 LIV 0
95255 SUI 1
92651 STK 12
95823 PNF 12
95031 OTH 1
94521 ALZ 20
92346 OTH 64
92354 INJ 9
93924 CLD 3
95825 HOM 3
92276 CLD 3
91978 LIV 1
92124 HTD 19
94544 INJ 15
95966 LIV 4
94087 ALZ 3
92841 CAN 53
92536 INJ 4
93704 INJ 12
95210 HYP 0
93660 HYP 0
92111 HOM 0
93460 CLD 0
93609 CAN 8
92084 PNF 13
96086 HOM 0
90660 DIA 27
95675 HOM 0
93451 PNF 1
92313 INJ 3
95621 ALZ 9
95973 CAN 47
91917 ALZ 0
92321 LIV 0
93226 LIV 0
91701 SUI 5
91381 SUI 0
95938 INJ 1
92270 DIA 2
92103 PNF 3
95312 HTD 2
93222 DIA 0
91387 HOM 0
92405 DIA 3
92373 SUI 5
93205 HYP 0
92545 LIV 3
92106 DIA 3
92694 OTH 5
96055 OTH 14
95966 ALZ 8
93516 ALZ 0
92841 INJ 7
92064 PNF 6
92234 HYP 0
92057 STK 33
90732 ALZ 2
92570 OTH 44
93428 HTD 17
92342 LIV 2
92254 CAN 4
90266 LIV 1
91730 CLD 15
90706 PNF 12
94577 LIV 6
94960 PNF 1
94566 LIV 4
93926 HTD 10
95315 HOM 1
96090 STK 0
93606 NEP 0
95326 HOM 0
91731 NEP 6
91403 NEP 0
91911 PNF 7
94923 LIV 0
96080 CLD 27
90063 CAN 66
95722 STK 4
94598 OTH 41
93271 CAN 6
95123 SUI 6
90026 STK 31
95222 STK 4
94618 PNF 1
96088 ALZ 2
93314 HOM 0
95209 HYP 3
95132 DIA 7
92307 HYP 4
93035 LIV 0
95255 CLD 1
91306 ALZ 15
95073 LIV 4
94111 HTD 12
93267 INJ 1
94103 INJ 25
94577 INJ 10
92310 HOM 0
96088 DIA 0
93205 HYP 1
90650 INJ 26
92548 LIV 2
